frame,dF_F
1071,0.916
1072,1.3608
1073,1.2755
1074,1.0717
1075,0.8585
1076,0.6888
1077,0.4796
1078,0.452
1079,0.2217
1080,0.1999
1081,0.0335
1082,0.2801
1083,0.1232
1084,0.1954
1085,0.0846
1086,-0.0447
1087,-0.1354
1088,-0.3632
1089,-0.1364
1090,0.4191
1091,1.1041
1092,1.272
1093,1.2288
1094,1.131
1095,0.903
1096,0.8632
1097,0.5601
1098,0.5177
1099,0.2869
1100,0.2285
1101,0.1234
1102,0.0068
1103,-0.0168
1104,-0.0282
1105,0.1789
1106,-0.0242
1107,0.0006
1108,-0.1507
1109,-0.2588
1110,-0.3062
1111,-0.5094
1112,-0.4562
1113,-0.1797
1114,0.1474
1115,0.3586
1116,0.8382
1117,0.9386
1118,0.7592
1119,0.6647
1120,0.4581
1121,0.4894
1122,0.2882
1123,0.2496
1124,0.0812
1125,-0.0475
1126,-0.0794
1127,-0.0871
1128,0.1548
1129,0.0976
1130,-0.0593
1131,-0.0891
1132,-0.2109
1133,-0.152
1134,-0.3226
1135,-0.3442
1136,-0.4658
1137,-0.5697
1138,-0.5007
1139,-0.5497
1140,-0.5216
1141,-0.6453
1142,-0.7352
1143,-0.7411
1144,-0.7296
1145,0.1495
1146,0.4084
1147,0.7066
1148,0.9915
1149,1.2301
1150,1.2797
1151,1.2425
1152,1.0113
1153,0.9059
1154,0.7162
1155,0.5511
1156,0.4624
1157,0.1926
1158,0.1978
1159,0.0999
1160,0.0653
1161,0.2523
1162,0.1143
1163,0.1549
1164,0.0469
1165,0.0397
1166,0.1867
1167,0.1032
1168,0.1913
1169,0.5679
1170,1.566
1171,1.9055
1172,1.8506
1173,1.7632
1174,1.6619
1175,1.4493
1176,1.3759
1177,1.3374
1178,1.1627
1179,1.1643
1180,1.0194
1181,0.9849
1182,0.9201
1183,0.7874
1184,0.8476
1185,0.7797
1186,0.709
1187,0.7466
1188,0.5843
1189,1.0314
1190,2.0006
1191,1.7955
1192,1.7217
1193,1.6568
1194,1.3429
1195,1.289
1196,1.1628
1197,1.0235
1198,0.9739
1199,0.718
1200,0.6417
1201,0.4438
1202,0.2632
1203,0.2493
1204,0.0626
1205,0.0221
1206,0.1649
1207,0.9594
1208,1.8022
1209,2.0847
1210,2.1687
1211,2.2431
1212,2.2158
1213,2.2168
1214,2.6898
1215,3.0024
1216,2.9595
1217,2.9611
1218,3.5684
1219,3.7517
1220,3.6021
1221,3.526
1222,3.1697
1223,3.0976
1224,2.7974
1225,2.5064
1226,2.4557
1227,2.1687
1228,2.1427
1229,1.9441
1230,1.7462
1231,1.7442
1232,1.4645
1233,1.5024
1234,1.306
1235,1.1717
1236,1.1071
1237,0.8963
1238,0.914
1239,0.7282
1240,0.668
1241,0.6761
1242,0.46
1243,0.5046
1244,0.3096
1245,0.263
1246,0.1939
1247,0.0273
1248,0.0456
1249,-0.1811
1250,-0.1691
1251,-0.2632
1252,-0.3924
1253,-0.3575
1254,-0.6162
1255,-0.6758
1256,-0.6661
1257,-0.8106
1258,-0.7898
1259,-0.8252
1260,-0.0931
1261,0.1055
1262,-0.1563
1263,-0.3616
1264,-0.3391
1265,-0.4606
1266,-0.6432
1267,-0.5746
1268,-0.6908
1269,0.2096
1270,3.9944
1271,5.319
1272,5.2188
1273,5.0791
1274,4.7949
1275,4.6353
1276,8.2394
1277,6.9075
1278,6.8623
1279,7.4344
1280,10.0946
1281,11.0574
1282,12.4781
1283,13.2424
1284,12.9008
1285,11.1679
1286,10.7306
1287,9.706
1288,9.1579
1289,8.2031
1290,7.6877
1291,7.3242
1292,6.7098
1293,6.3875
1294,6.0847
1295,5.5072
1296,5.2238
1297,4.9106
1298,4.4424
1299,4.3886
1300,4.0508
1301,3.7612
1302,3.6971
1303,3.309
1304,3.1755
1305,2.9848
1306,2.6333
1307,2.5596
1308,2.3419
1309,2.2167
1310,2.2796
1311,1.9425
1312,1.9405
1313,1.8068
1314,1.5215
1315,1.8323
1316,1.8122
1317,1.5344
1318,1.5003
1319,1.1416
1320,1.1895
1321,0.8841
1322,0.9274
1323,0.5876
1324,0.4862
1325,0.2962
1326,0.1117
1327,0.0568
1328,-0.2183
1329,-0.1982
1330,-0.505
1331,-0.4403
1332,-0.7411
1333,-0.6849
1334,-0.9087
1335,-0.918
1336,-1.072
1337,-1.2585
1338,-1.2624
1339,-1.512
1340,-1.4336
1341,-1.6819
1342,-1.6023
1343,-1.8523
1344,-1.8375
1345,-1.9626
1346,-2.0486
1347,-1.9404
1348,-2.2105
1349,-2.0081
1350,-2.2542
1351,-2.16
1352,-2.1113
1353,-2.3922
1354,-2.1536
1355,-2.3126
1356,-2.2861
1357,-2.3615
1358,-2.5458
1359,-2.5137
1360,-2.8109
1361,-2.7304
1362,-2.9733
1363,-3.0077
1364,-3.0577
1365,-3.2455
1366,-3.1575
1367,-3.429
1368,-3.3838
1369,-3.4315
1370,-2.7699
1371,-1.848
1372,-2.2163
1373,-2.2501
1374,-2.5444
1375,-2.6223
1376,-2.713
1377,-2.935
1378,-2.8638
1379,-3.1604
1380,-3.1729
1381,-3.3591
1382,-3.5244
1383,-3.4814
1384,-3.7137
1385,-3.4396
1386,-3.0484
1387,-3.2586
1388,-3.2371
1389,-3.3954
1390,-3.6515
1391,-3.5722
1392,-3.8562
1393,-3.8417
1394,-3.8882
1395,-4.0815
1396,-4.006
1397,-4.237
1398,-4.2948
1399,-4.3559
1400,-4.5721
1401,-4.4946
1402,-4.5665
1403,-4.6271
1404,-4.5388
1405,-4.6888
1406,-4.726
1407,-4.6418
1408,-4.8621
1409,-4.8569
1410,-4.7733
1411,-4.9354
1412,-4.8997
1413,-4.905
1414,-5.0711
1415,-4.4003
1416,-3.325
1417,-3.4321
1418,-3.4759
1419,-3.5537
1420,-3.7445
1421,-3.7408
1422,-3.8303
1423,-3.9849
1424,-3.8631
1425,-4.136
1426,-4.1418
1427,-4.1906
1428,-4.3955
1429,-3.8065
1430,-3.4085
1431,-3.5511
1432,-3.5232
1433,-3.7019
1434,-3.7287
1435,-3.6936
1436,-3.9186
1437,-3.9417
1438,-3.9169
1439,-4.0694
1440,-4.0048
1441,-4.1163
1442,-4.1772
1443,-4.1057
1444,-4.277
1445,-4.2269
1446,-4.2471
1447,-4.4362
1448,-4.3222
1449,-4.366
1450,-4.3657
1451,-4.2856
1452,-4.4951
1453,-4.4991
1454,-4.5405
1455,-4.6856
1456,-4.5764
1457,-4.6051
1458,-4.6875
1459,-4.6255
1460,-4.6968
1461,-4.7563
1462,-4.647
1463,-4.8573
1464,-4.8816
1465,-4.759
1466,-4.521
1467,-0.6218
1468,-0.6002
1469,-0.425
1470,-0.4296
1471,-0.533
1472,-0.8886
1473,-1.0821
1474,-1.5203
1475,-1.5757
1476,-1.9239
1477,-1.8648
1478,-2.0292
1479,-2.176
1480,-2.183
1481,-2.2593
1482,-1.7482
1483,-1.7488
1484,-1.9435
1485,-1.8992
1486,-2.0229
1487,-2.1912
1488,-2.1441
1489,-2.3836
1490,-2.4548
1491,-2.4726
1492,-2.6496
1493,-2.5531
1494,-2.7422
1495,-2.8244
1496,-2.7009
1497,-2.3809
1498,-2.3908
1499,-2.3444
1500,-2.6238
1501,-2.5771
1502,-2.5708
1503,-2.747
1504,-2.727
1505,-2.907
1506,-3.0324
1507,-2.9849
1508,-3.2086
1509,-3.1827
1510,-3.2024
1511,-3.3326
1512,-3.228
1513,-3.4103
1514,-3.3209
1515,-3.2941
1516,-3.4764
1517,-3.4259
1518,-3.4533
1519,-3.5709
1520,-3.4571
1521,-3.6352
1522,-3.6518
1523,-3.5935
1524,-3.7084
1525,-3.7001
1526,-3.6489
1527,-3.5819
1528,-1.9724
1529,-1.7121
1530,-1.8714
1531,-2.0175
1532,-2.0775
1533,-2.3611
1534,-2.3717
1535,-2.5103
1536,-2.7212
1537,-2.6719
1538,-2.8762
1539,-2.9889
1540,-2.9452
1541,-3.1214
1542,-3.0699
1543,-3.1664
1544,-3.2487
1545,-3.1738
1546,-3.3696
1547,-3.359
1548,-3.4016
1549,-3.533
1550,-3.4245
1551,-3.4448
1552,-2.7748
1553,-2.3192
1554,-2.5185
1555,-2.429
1556,-2.4016
1557,-2.6669
1558,-2.7402
1559,-2.7931
1560,-3.0009
1561,-3.0156
1562,-3.1232
1563,-3.2442
1564,-3.2325
1565,-3.4242
