frame,dF_F
1337,-3.6977
1338,-3.59
1339,-3.8052
1340,-3.8009
1341,-3.8056
1342,-3.9181
1343,-3.7502
1344,-3.9248
1345,-3.9708
1346,-3.9069
1347,-4.0323
1348,-3.9385
1349,-3.9173
1350,-3.9644
1351,-3.8278
1352,-3.9441
1353,-3.7668
1354,-3.4367
1355,-3.6683
1356,-3.6065
1357,-2.6526
1358,2.5865
1359,13.2443
1360,18.0723
1361,19.5069
1362,18.373
1363,17.2841
1364,14.7958
1365,12.8097
1366,10.8583
1367,9.0336
1368,7.3595
1369,6.16
1370,4.9158
1371,3.9001
1372,3.2143
1373,2.5542
1374,2.0905
1375,1.5832
1376,1.0372
1377,0.6541
1378,0.2493
1379,-0.0546
1380,-0.3718
1381,-0.6718
1382,-0.8178
1383,-1.148
1384,-1.2713
1385,-1.4625
1386,-1.6764
1387,-1.7088
1388,-1.8962
1389,-1.9738
1390,-2.0711
1391,-2.2948
1392,-2.2676
1393,-2.4834
1394,-2.571
1395,-2.5698
1396,-2.7917
1397,-2.7261
1398,-2.8434
1399,-2.9486
1400,-2.8103
1401,-2.9253
1402,-2.9707
1403,-2.9996
1404,-3.168
1405,-3.0939
1406,-3.1615
1407,-3.1909
1408,-3.1433
1409,-3.2414
1410,-3.1877
1411,-3.2556
1412,-3.2735
1413,-3.2035
1414,-3.2644
1415,-3.2743
1416,-3.3036
1417,-3.3396
1418,-3.2875
1419,-3.3452
1420,-3.3374
1421,-3.3655
1422,-3.4733
1423,-3.4306
1424,-3.5321
1425,-3.5652
1426,-3.5952
1427,-3.7005
1428,-3.6761
1429,-3.7091
1430,-3.761
1431,-3.6794
1432,-3.7569
1433,-3.7653
1434,-3.7145
1435,-3.8362
1436,-3.8254
1437,-3.8578
1438,-3.9345
1439,-3.8797
1440,-3.9439
1441,-3.9838
1442,-3.8898
1443,-3.9547
1444,-3.9637
1445,-3.9054
1446,-3.9965
1447,-3.9468
1448,-3.7972
1449,-3.8056
1450,-3.7797
1451,-3.8257
1452,-3.9162
1453,-3.8652
1454,-3.8055
1455,-3.7714
1456,-3.7386
1457,-3.8508
