Typical Measured Spectrum of Semrock FF01-479/585 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
504.4	4.8489e-07
504.6	4.8026e-07
504.8	5.2339e-07
505.0	5.0285e-07
505.2	4.3393e-07
505.4	3.7493e-07
505.6	3.4058e-07
505.8	3.0937e-07
506.0	3.0632e-07
506.2	3.3002e-07
506.4	3.3229e-07
506.6	3.0587e-07
506.8	2.8156e-07
507.0	2.6519e-07
507.2	2.5035e-07
507.4	2.4867e-07
507.6	2.6705e-07
507.8	2.6156e-07
508.0	2.1069e-07
508.2	1.6971e-07
508.4	1.5946e-07
508.6	1.557e-07
508.8	1.6138e-07
509.0	1.943e-07
509.2	2.1834e-07
509.4	1.9072e-07
509.6	1.6658e-07
509.8	1.4472e-07
510.0	1.2542e-07
510.2	1.1841e-07
510.4	1.6512e-07
510.6	2.0126e-07
510.8	1.1237e-07
511.0	3.774e-08
511.2	1.5997e-08
511.4	5.7132e-08
511.6	1.2531e-07
511.8	1.238e-07
512.0	1.0719e-07
512.2	1.3955e-07
512.4	1.4561e-07
512.6	1.8201e-07
512.8	7.9568e-08
513.0	9.5116e-08
513.2	1.053e-07
513.4	2.4153e-08
513.6	7.302e-08
513.8	1.2875e-07
514.0	1.0241e-07
514.2	1.8206e-07
514.4	1.7613e-07
514.6	2.34e-08
514.8	4.1357e-08
515.0	6.5531e-08
515.2	2.8268e-08
515.4	1.6275e-08
515.6	3.1225e-08
515.8	3.6876e-08
516.0	3.738e-08
516.2	5.5337e-08
516.4	4.7384e-08
516.6	5.5024e-08
516.8	1.8215e-08
517.0	1.4462e-08
517.2	3.6708e-08
517.4	1.0716e-07
517.6	7.7209e-08
517.8	1.175e-07
518.0	8.4604e-08
518.2	3.5253e-08
518.4	5.8415e-08
518.6	7.8827e-08
518.8	5.8602e-08
519.0	8.0528e-08
519.2	1.3154e-07
519.4	9.8903e-08
519.6	3.7961e-08
519.8	2.7694e-08
520.0	2.7681e-08
520.2	2.5404e-08
520.4	1.7921e-08
520.6	3.0084e-08
520.8	5.1963e-08
521.0	5.4861e-08
521.2	6.1249e-08
521.4	7.2044e-08
521.6	7.8321e-08
521.8	4.9991e-08
522.0	1.5752e-08
522.2	7.3838e-08
522.4	9.3436e-08
522.6	3.7547e-08
522.8	2.2806e-08
523.0	1.0192e-07
523.2	6.4368e-08
523.4	6.5357e-08
523.6	6.5154e-08
523.8	7.2915e-08
524.0	4.8431e-08
524.2	3.4295e-08
524.4	8.8932e-08
524.6	4.9897e-08
524.8	5.1422e-08
525.0	4.0791e-08
525.2	1.9987e-08
525.4	2.3982e-08
525.6	6.1286e-08
525.8	5.1218e-08
526.0	2.9019e-08
526.2	7.3223e-08
526.4	4.4865e-08
526.6	5.0382e-08
526.8	6.7109e-08
527.0	7.5277e-08
527.2	7.5058e-08
527.4	6.3157e-08
527.6	5.0758e-08
527.8	5.8371e-08
528.0	3.8336e-08
528.2	1.9794e-08
528.4	1.4718e-08
528.6	5.2919e-08
528.8	4.138e-08
529.0	9.8631e-09
529.2	2.5626e-08
529.4	4.3299e-08
529.6	3.7848e-08
529.8	4.9079e-08
530.0	7.2163e-08
530.2	5.89e-08
530.4	4.9759e-08
530.6	4.8254e-08
530.8	4.2331e-08
531.0	4.0735e-08
531.2	5.9835e-08
531.4	5.9763e-08
531.6	3.0762e-08
531.8	4.0894e-08
532.0	2.0332e-08
532.2	2.6057e-08
