Typical Measured Spectrum of Semrock FF01-524/628 Optical Filter	
For wavelengths between 320 and 1120 nm, values near or below 3e-7 (Optical Density 6.5) are measurement noise limited.
For wavelengths < 320 nm and > 1120 nm, values near or below 3e-6 (Optical Density 5.5) are measurement noise limited. 
Data format:  Wavelength (nm) <tab> Transmission (0 to 1)
486.2	7.338e-08
486.4	6.0051e-08
486.6	4.0558e-08
486.8	2.3336e-08
487.0	1.3845e-08
487.2	3.6908e-08
487.4	9.8388e-08
487.6	8.8278e-08
487.8	2.608e-08
488.0	1.3307e-08
488.2	1.3243e-08
488.4	1.3178e-08
488.6	2.5333e-08
488.8	5.1368e-08
489.0	8.2695e-08
489.2	9.4851e-08
489.4	1.0355e-07
489.6	1.0312e-07
489.8	1.027e-07
490.0	5.1677e-08
490.2	2.2609e-08
490.4	1.8259e-08
490.6	5.9605e-08
490.8	1.2327e-07
491.0	4.5786e-08
491.2	1.7006e-08
491.4	2.1213e-08
491.6	4.5602e-08
491.8	8.252e-08
492.0	6.2454e-08
492.2	5.0845e-08
492.4	7.2572e-08
492.6	1.0358e-07
492.8	1.0562e-07
493.0	8.5654e-08
493.2	7.0463e-08
493.4	7.0077e-08
493.6	6.8708e-08
493.8	3.3541e-08
494.0	1.6373e-08
494.2	1.4192e-08
494.4	2.1842e-08
494.6	3.3616e-08
494.8	6.0137e-08
495.0	1.08e-07
495.2	1.0826e-07
495.4	1.0352e-07
495.6	9.6732e-08
495.8	8.7319e-08
496.0	7.8822e-08
496.2	9.7833e-08
496.4	1.2682e-07
496.6	9.1998e-08
496.8	5.9257e-08
497.0	4.0081e-08
497.2	3.0306e-08
497.4	2.2915e-08
497.6	4.5219e-08
497.8	1.1604e-07
498.0	1.1068e-07
498.2	7.3196e-08
498.4	5.6334e-08
498.6	7.6695e-08
498.8	1.0442e-07
499.0	1.03e-07
499.2	8.7913e-08
499.4	9.5281e-08
499.6	1.1847e-07
499.8	1.436e-07
500.0	1.4315e-07
500.2	1.4271e-07
500.4	1.2906e-07
500.6	1.0922e-07
500.8	1.0295e-07
501.0	1.0638e-07
501.2	1.1032e-07
501.4	1.3623e-07
501.6	1.6822e-07
501.8	1.7609e-07
502.0	1.5625e-07
502.2	1.5502e-07
502.4	1.7627e-07
502.6	2.0042e-07
502.8	2.4074e-07
503.0	2.9036e-07
503.2	3.3924e-07
503.4	3.7859e-07
503.6	4.7874e-07
503.8	8.048e-07
504.0	1.3529e-06
504.2	2.7963e-06
504.4	6.1159e-06
504.6	1.3859e-05
504.8	3.4739e-05
505.0	8.4238e-05
505.2	2.0192e-04
505.4	4.4793e-04
505.6	8.966e-04
505.8	0.00161
506.0	0.00277
506.2	0.00473
506.4	0.0083
506.6	0.01456
506.8	0.02659
507.0	0.0508
507.2	0.1008
